Frame,V0,V1,V2,V3,V4,V5,V6,V7,V8
0,157.25753038194443,0.0,2.867378472222222,105.95302372685185,1.7236323302469136,169.34797791280863,137.84638069058641,144.13723524305556,0.4459399112654321
1,157.24109133873458,0.0,2.8189342206790124,105.89800684799383,1.723633777006173,169.34990885416667,138.27229600694446,144.15476707175927,0.4022453703703704
2,157.1867288773148,0.0,2.7931245177469135,105.8816584683642,1.7236260609567902,169.33793113425926,138.29101755401234,144.1620457175926,0.40238667052469135
3,157.17095630787037,0.0,2.7753901427469136,105.82365017361111,1.723633777006173,169.55561921296297,138.17707224151235,144.16357156635803,0.402641300154321
4,157.16403597608024,0.0,2.692400173611111,105.87524450231481,1.7236323302469136,169.682449845679,138.07862991898148,144.17605227623457,0.402662037037037
5,157.14943817515433,0.0,2.879685088734568,105.89722511574074,1.723633777006173,169.56923562885802,138.21078173225308,144.20789834104937,0.456820987654321
6,157.1354181134259,0.0,2.911361400462963,105.86017988040123,1.7236260609567902,169.68102430555555,138.20346547067902,144.22025028935184,0.5017274305555556
7,157.13472463348765,0.0,2.893645351080247,105.8772120949074,1.723633777006173,169.6257494212963,138.22320023148148,144.2185223765432,0.644168113425926
8,157.12637393904322,0.0,2.9518870563271604,105.88800877700618,1.7236323302469136,169.46148967978394,138.1813961226852,144.21629436728395,2.449050925925926
9,157.12628423996912,0.0,2.930209780092593,106.14846788194444,1.723633777006173,169.77071566358023,138.18859809027776,144.22379340277777,11.316366222993826
10,157.11274353780865,0.0,2.981359471450617,106.16925057870371,1.7236260609567902,169.33406684027779,138.25540268132715,144.23167341820988,20.479240933641975
11,157.0214163773148,0.0,2.9765504436728394,106.1347868441358,1.723633777006173,169.4232065007716,138.25857349537037,144.20256510416667,29.34278694058642
12,157.013643904321,0.0,3.053541666666667,106.13707224151234,1.7236323302469136,169.42299189814815,137.99660493827162,144.20287133487653,38.273334297839504
13,156.9998828125,0.0,3.049203800154321,106.12266589506173,1.723633777006173,169.28887538580247,138.20098476080247,144.1974252507716,47.23176745756173
14,156.8659297839506,0.0,3.0752763310185185,106.07581886574074,1.7236260609567902,169.3760190007716,138.21701919367283,144.20031008873457,55.52729600694445
15,156.93049238040123,0.0,3.1480078125,106.05079957561729,1.723633777006173,169.3510079089506,138.16799913194444,144.20411699459876,64.42619936342592
16,156.82627266589506,0.0,3.135201099537037,106.06445939429013,1.7236323302469136,169.26538435570987,138.17782359182098,144.22843846450618,72.7364988425926
17,156.87190779320989,6.051193576388889,3.2251557677469136,106.08762972608025,1.723633777006173,169.39130787037038,138.2897685185185,144.22088204089505,81.1208521412037
18,156.77179108796295,6.049448784722222,3.2212905092592594,106.06819878472223,1.7236260609567902,169.45014756944445,138.26900704089505,144.2375525655864,90.03503713348765
19,156.7615485146605,6.047800925925926,3.2986762152777778,106.10401234567901,1.723633777006173,169.41145495756172,138.20911072530865,144.22866367669752,98.69690827546296
20,156.72234953703705,12.145814525462963,3.2965456211419752,106.25560908564815,1.7236323302469136,169.61109037422838,138.19531828703703,144.22463686342593,106.46502797067902
21,156.7233627507716,12.153555169753087,3.3829094328703704,106.0787745949074,1.723633777006173,169.6647294560185,138.23407118055556,144.23755353009258,111.85857494212964
22,156.59562644675927,13.892091531635803,3.3846903935185186,106.33053192515432,1.7236260609567902,169.55498553240741,138.21851321373458,144.23883680555556,112.00903935185185
23,156.18026813271604,13.923030960648148,3.4732648533950616,106.4058810763889,1.723633777006173,170.0128057484568,138.0781847993827,144.2437784529321,112.00365306712963
24,156.39666377314813,13.964463734567902,3.4693706597222222,106.42395736882716,1.7236323302469136,169.57239293981482,138.0152131558642,144.24214602623456,112.15248263888888
25,156.25854890046296,13.970888792438272,3.5596788194444446,106.42925347222223,1.723633777006173,169.87973524305556,138.27002363040123,144.2443967013889,112.20050491898148
26,156.1912109375,13.957458526234568,3.5736033950617285,106.42877893518518,1.7236260609567902,169.38898678626543,138.279151716821,144.2493933256173,112.24585696373457
27,156.2001321373457,13.864203800154321,3.613636188271605,106.44001880787037,1.723633777006173,169.3798509837963,138.26210696373457,144.24526186342592,112.24063512731482
28,156.09790268132716,19.644102044753087,3.677832272376543,106.48005208333333,1.7236323302469136,169.0761578896605,138.25538483796296,144.24466049382715,112.3202666859568
29,156.18164978780865,19.629840374228394,3.706950713734568,106.46779610339506,1.723633777006173,168.74798804012346,138.27271894290124,144.24403308256174,112.32346691743827
30,156.10897521219135,19.558109567901234,3.8152845293209876,106.27767216435186,1.7236260609567902,168.6767226080247,138.32951244212964,144.24937982253087,112.34339554398149
31,156.04934413580247,19.526589023919755,3.8180695408950616,106.2787572337963,1.723633777006173,168.44975646219135,138.3147868441358,144.2498688271605,112.38317370756172
32,156.25620949074073,19.462806712962962,3.866290991512346,106.27424768518519,1.7236323302469136,168.24690104166666,138.08701292438272,144.25025800540124,112.46890625
33,156.15614438657408,19.42830439814815,3.947188946759259,106.18104263117284,1.723633777006173,168.41278935185184,138.05739197530863,144.24657937885803,112.44680700231481
34,156.15863811728394,19.390213638117284,3.9901215277777777,106.198203125,1.7236260609567902,168.40949411651235,138.29254774305556,144.3160190007716,112.4923649691358
35,156.1486540316358,19.33155574845679,4.043871527777778,106.21025800540123,1.723633777006173,168.2730222800926,138.28769048996912,144.31588155864196,112.50074411651235
36,156.17170235339506,19.310879147376543,4.117025945216049,106.21218557098766,1.7236323302469136,168.72297646604937,138.11953221450617,144.29279610339506,112.4325245949074
