VideoId,Segment,Number of cluster(K),Number of similar users,Similar users
V1,54,2,22,1-2-3-5-6-8-9-11-14-15-18-20-21-22-23-24-26-27-28-29-30-32
V1,55,2,26,1-2-3-5-6-7-8-9-11-12-13-14-15-17-18-20-21-22-23-24-26-27-28-29-30-32
V1,56,2,26,1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-20-21-22-23-25-26-29-30-31-32
V1,57,2,24,1-2-3-4-5-6-9-10-11-12-13-14-16-17-20-21-23-25-26-27-29-30-31-32
V1,58,2,23,1-2-3-5-7-8-11-13-14-15-17-18-19-20-21-22-24-25-26-27-28-29-32
V1,59,2,22,1-3-5-7-8-11-13-14-15-17-19-20-21-22-23-24-25-26-27-28-29-32
V1,60,2,19,1-3-5-7-10-13-14-15-17-18-20-22-23-24-25-26-27-29-32
V2,1,2,17,1-2-4-6-7-8-9-13-15-16-18-19-22-23-25-30-32
V2,2,2,18,1-2-3-4-6-7-8-9-15-16-18-19-22-23-25-28-30-32
V2,3,2,17,1-4-6-7-8-9-12-15-16-19-21-22-23-25-29-30-32
V2,4,2,17,5-6-9-11-12-13-14-16-20-21-24-25-26-27-29-30-31
V2,5,2,27,1-2-3-4-5-6-7-9-10-11-13-14-15-16-17-18-19-20-21-23-24-26-27-28-29-31-32
V2,6,2,24,1-2-3-4-5-6-9-10-13-14-15-16-17-18-20-21-23-24-25-27-28-29-31-32
V2,7,2,26,1-2-3-4-5-6-9-10-11-13-14-15-16-17-18-20-21-22-23-24-25-27-28-29-31-32
V2,8,2,24,1-3-4-5-6-10-11-13-14-15-16-17-18-19-20-21-22-24-25-27-28-29-31-32
V2,9,2,23,1-3-4-5-6-7-9-10-11-13-14-15-16-17-18-19-20-22-24-25-29-31-32
V2,10,2,28,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21-22-24-25-26-27-28-29-31-32
V2,11,2,23,1-2-3-4-5-8-9-10-11-14-16-18-19-20-21-23-24-25-26-27-28-29-32
V2,12,2,26,1-2-3-4-5-6-7-8-9-10-11-14-15-16-19-20-21-23-24-25-26-27-28-29-31-32
V2,13,2,28,1-2-3-4-5-6-7-8-9-10-12-14-15-16-18-19-20-21-22-23-24-25-26-27-28-29-31-32
V2,14,2,23,1-2-3-4-6-7-9-10-12-14-15-16-18-19-20-21-22-24-25-26-27-29-31
V2,15,2,20,1-3-4-6-7-10-12-14-15-16-19-20-21-22-24-25-26-27-29-31
V2,16,2,25,1-2-3-5-6-7-8-9-10-11-13-14-18-19-20-21-23-24-25-26-27-28-29-30-32
V2,17,2,22,1-2-3-5-7-8-9-10-11-12-14-18-19-20-21-24-25-26-27-28-30-32
V2,18,2,21,3-4-6-10-13-15-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V2,19,2,23,1-3-4-6-8-10-13-15-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V2,20,2,23,1-2-3-4-5-7-8-9-10-11-12-14-15-18-19-20-21-22-24-25-28-30-31
V2,21,2,21,1-2-3-4-5-7-8-10-11-12-14-15-18-19-21-22-24-25-28-30-31
V2,22,2,21,1-2-3-4-5-7-10-11-14-15-18-19-21-22-23-24-25-28-29-30-31
V2,23,2,26,1-2-3-5-6-7-8-9-11-12-13-16-17-18-19-20-21-22-23-25-26-27-28-30-31-32
V2,24,2,25,1-2-3-5-6-8-9-11-12-15-16-17-18-19-20-21-22-23-25-26-27-28-30-31-32
V2,25,2,24,1-2-3-5-6-8-9-11-12-15-16-17-18-19-20-21-22-23-25-26-27-28-30-31
V2,26,2,21,1-2-5-6-8-9-11-12-15-17-18-19-20-22-23-25-26-27-28-30-31
V2,27,2,24,1-2-4-5-6-8-9-10-11-12-13-15-17-18-20-22-23-25-26-27-28-29-30-31
V2,28,2,23,1-2-4-5-6-7-9-10-11-12-13-15-17-18-20-23-24-25-26-28-29-30-31
V2,29,2,23,1-2-3-4-5-6-7-8-9-15-16-17-18-19-20-21-22-23-25-26-27-29-32
V2,30,2,21,1-2-4-5-6-8-9-12-15-16-17-18-19-20-21-22-23-25-26-27-29
V2,31,2,21,1-2-4-5-6-8-9-12-15-16-17-18-19-20-21-22-23-25-26-27-29
V2,32,2,23,2-3-4-5-7-9-10-11-13-14-15-16-20-21-23-24-25-26-28-29-30-31-32
V2,33,2,21,1-2-3-4-7-9-10-11-12-13-14-16-21-23-24-25-26-29-30-31-32
V2,34,2,20,1-2-3-4-7-9-10-11-12-14-16-21-23-25-26-27-29-30-31-32
V2,35,2,21,1-2-5-6-8-9-11-13-15-17-18-20-21-22-24-25-26-28-29-30-31
V2,36,2,20,1-2-5-6-7-9-11-13-15-17-18-21-22-24-25-26-28-29-30-31
V2,37,2,23,1-2-5-6-7-9-11-13-15-17-18-21-22-23-24-25-26-27-28-29-30-31-32
V2,38,2,24,1-2-5-6-7-9-11-13-15-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V2,39,2,18,2-5-6-7-8-9-11-13-15-17-19-20-22-23-24-28-31-32
V2,40,2,16,1-3-10-12-14-16-18-21-22-24-25-26-27-28-29-30
V2,41,2,20,1-3-6-8-10-12-14-16-18-19-21-22-24-25-26-27-28-29-30-31
V2,42,2,22,1-3-6-8-10-12-13-14-16-18-19-21-22-23-24-25-26-27-28-29-30-31
V2,43,2,25,1-3-5-6-8-9-10-12-13-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V2,44,2,24,1-3-5-6-7-8-9-10-12-13-16-18-20-21-22-23-24-25-26-28-29-30-31-32
V2,45,2,17,1-5-6-7-8-10-13-16-18-22-23-24-25-29-30-31-32
V2,46,2,20,1-5-6-7-8-9-10-13-16-18-19-20-22-23-25-26-29-30-31-32
V2,47,2,17,1-2-3-4-9-11-12-13-14-15-17-21-24-26-27-28-31
V2,48,2,20,1-2-3-4-8-9-10-11-12-13-14-15-17-21-24-25-26-27-28-31
