VideoId,Segment,Number of cluster(K),Number of similar users,Similar users
V5,8,2,29,2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20-21-22-23-25-26-27-28-29-30-31-32
V5,9,2,29,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V5,10,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V5,11,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V5,12,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25-26-27-28-29-30-31-32
V5,13,2,30,1-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32
V5,14,2,27,1-2-4-6-7-8-9-10-12-13-14-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-32
V5,15,2,27,1-2-4-5-6-7-8-9-10-12-13-14-15-16-17-18-19-20-21-23-24-25-26-27-29-30-32
V5,16,2,27,1-2-3-4-5-6-7-9-10-12-13-14-15-16-17-19-20-21-23-24-25-26-27-29-30-31-32
V5,17,2,27,1-2-3-4-5-6-7-9-10-12-13-14-15-16-17-19-21-22-23-24-25-26-27-28-29-31-32
V5,18,2,25,1-2-3-5-6-8-9-10-11-12-13-14-16-17-19-21-22-23-24-25-26-27-28-31-32
V5,19,2,24,1-2-3-5-6-8-9-11-12-14-16-17-18-19-20-21-22-23-24-26-27-28-31-32
V5,20,2,25,1-2-3-5-6-7-8-9-11-12-13-14-16-17-18-21-22-23-24-26-27-28-29-31-32
V5,21,2,26,1-2-3-5-6-7-8-9-11-12-13-14-16-17-18-19-20-21-22-24-26-27-28-29-31-32
V5,22,2,26,1-2-3-5-7-8-9-11-12-13-14-16-17-18-19-20-21-22-24-26-27-28-29-30-31-32
V5,23,2,28,1-2-3-5-7-8-9-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,24,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,25,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,26,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,27,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,28,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,29,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,30,2,30,1-2-3-4-5-6-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,31,2,30,1-2-3-4-5-6-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,32,2,30,1-2-3-4-5-6-7-8-9-11-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,33,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,34,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,35,2,31,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,36,2,28,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29
V5,37,2,30,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31
V5,38,2,30,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31
V5,39,2,30,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31
V5,40,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V5,41,2,30,1-2-3-4-5-6-7-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,42,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,43,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,44,2,28,1-2-3-5-6-7-8-9-10-11-12-13-14-15-17-18-21-22-23-24-25-26-27-28-29-30-31-32
V5,45,2,29,1-2-3-5-6-7-8-9-10-11-12-13-14-15-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V5,46,2,29,1-2-3-5-6-7-8-9-10-11-12-13-14-15-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V5,47,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,48,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,49,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,50,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,51,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,52,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,53,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,54,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,55,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,56,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,57,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,58,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,59,2,30,1-2-3-4-5-6-7-8-9-10-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V5,60,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V6,1,2,20,1-4-6-7-8-9-11-13-15-16-18-19-20-21-22-23-25-28-30-32
V6,2,2,22,1-3-4-5-6-7-8-9-10-11-13-14-17-18-19-22-23-26-27-28-29-30
V6,3,2,22,1-2-4-6-8-9-12-13-14-15-16-17-18-20-21-23-25-26-27-30-31-32
V6,4,2,26,1-2-4-6-7-8-9-10-12-13-14-15-16-17-18-20-21-23-24-25-26-27-28-30-31-32
V6,5,2,24,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-25-26-27-29-32
V6,6,2,23,1-2-3-4-5-6-7-8-9-10-12-13-14-16-17-18-20-21-26-27-28-29-32
V6,7,2,20,4-6-7-8-9-12-13-14-15-17-18-19-23-24-25-26-27-30-31-32
V6,8,2,26,1-3-4-5-6-7-8-9-12-13-14-15-16-17-18-19-20-23-24-25-26-27-29-30-31-32
V6,9,2,24,1-3-4-5-6-7-9-12-13-14-15-16-17-18-19-20-23-24-26-27-29-30-31-32
V6,10,2,23,1-3-4-5-6-7-9-12-13-14-15-16-17-18-20-21-23-26-27-28-29-30-32
V6,11,2,19,1-3-4-5-6-7-9-12-13-14-16-17-20-21-23-26-28-29-30
V6,12,2,19,1-2-3-8-11-12-15-16-17-18-22-23-25-27-28-29-30-31-32
V6,13,2,18,1-2-3-8-11-12-15-16-17-18-22-23-27-28-29-30-31-32
V6,14,2,19,1-4-5-6-7-9-10-13-14-20-21-22-24-25-26-27-29-31-32
V6,15,2,18,1-4-5-6-7-8-9-10-14-18-20-21-22-25-26-27-31-32
V6,16,2,18,2-7-11-12-13-15-16-17-20-23-24-25-26-27-28-29-30-31
V6,17,2,22,2-5-7-8-9-11-12-13-15-17-20-21-23-24-25-26-27-28-29-30-31-32
V6,18,2,22,1-2-4-5-6-8-9-10-11-14-15-16-17-18-21-22-25-27-28-30-31-32
V6,19,2,23,2-3-4-5-6-8-9-10-11-12-13-15-16-17-18-21-22-25-27-28-30-31-32
V6,20,2,25,2-3-4-5-8-9-10-11-12-13-15-16-17-18-19-21-22-25-26-27-28-29-30-31-32
V6,21,2,17,1-2-5-6-7-10-14-16-18-20-21-23-24-28-30-31-32
V6,22,2,17,1-2-5-6-7-9-10-14-16-18-19-21-23-24-30-31-32
V6,23,2,20,1-2-3-5-6-7-9-10-14-16-18-19-21-23-24-26-27-30-31-32
V6,24,2,26,1-2-3-4-5-6-7-8-9-10-11-13-14-16-18-19-21-23-24-25-26-27-28-30-31-32
V6,25,2,27,1-2-3-4-5-7-8-9-10-11-12-13-15-16-17-19-21-22-23-24-25-26-27-29-30-31-32
V6,26,2,20,2-4-6-7-8-9-10-14-16-17-18-20-21-23-24-27-28-30-31-32
V6,27,2,30,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,28,2,27,1-2-3-4-5-8-9-10-11-12-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V6,29,2,28,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-19-21-22-23-24-25-26-27-28-29-30-31
V6,30,2,25,2-3-4-6-7-8-9-10-11-13-14-15-16-17-19-21-22-23-24-25-27-28-29-30-31
V6,31,2,23,2-3-4-6-7-8-9-10-11-14-15-16-17-21-22-23-24-25-27-28-29-30-31
V6,32,2,27,1-2-3-4-5-6-7-8-9-10-11-14-15-16-17-18-21-22-23-24-25-26-27-29-30-31-32
V6,33,2,30,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-20-21-22-23-24-25-26-27-29-30-31-32
V6,34,2,25,1-2-3-4-6-7-8-9-10-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31
V6,35,2,25,1-2-3-5-6-7-10-11-12-14-15-16-18-20-21-22-23-24-25-26-27-29-30-31-32
V6,36,2,24,1-2-3-5-6-7-10-11-12-14-15-16-20-21-22-23-24-25-26-27-29-30-31-32
V6,37,2,19,1-2-4-5-10-11-12-14-16-21-23-24-25-26-27-29-30-31-32
V6,38,2,30,1-2-3-5-6-7-8-9-10-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,39,2,29,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-18-19-20-21-23-24-25-26-27-28-29-30-31-32
V6,40,2,28,1-2-3-5-6-7-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-26-27-28-29-30-31-32
V6,41,2,29,1-2-3-5-6-7-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,42,2,24,1-2-3-6-8-9-10-11-12-14-16-17-18-20-22-23-24-25-27-28-29-30-31-32
V6,43,2,24,1-4-5-6-7-9-10-11-13-14-15-16-17-18-19-20-21-23-25-26-27-28-29-32
V6,44,2,25,1-2-3-6-7-8-9-10-11-12-14-16-19-21-22-23-24-25-26-27-28-29-30-31-32
V6,45,2,30,1-2-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V6,46,2,29,1-2-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-24-25-26-27-28-29-30-31-32
V6,47,2,23,1-2-6-7-9-10-11-12-13-14-15-16-17-19-21-22-24-26-27-28-29-30-32
V6,48,2,26,1-2-5-6-7-9-10-11-12-13-14-15-16-17-18-19-21-22-24-25-26-27-28-29-30-32
V6,49,2,29,1-2-3-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-24-25-26-27-28-29-30-31-32
V6,50,2,29,1-2-3-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-24-25-26-27-28-29-30-31-32
V6,51,2,18,1-2-3-7-10-11-12-13-18-19-21-22-25-27-29-30-31-32
V6,52,2,28,1-2-3-5-6-7-9-10-11-12-14-15-16-17-18-19-20-21-22-23-25-26-27-28-29-30-31-32
V6,53,2,27,1-2-3-5-6-7-9-10-11-12-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V6,54,2,30,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,55,2,30,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,56,2,30,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,57,2,30,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,58,2,31,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,59,2,31,1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V6,60,2,25,1-3-4-6-7-8-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-29-30-31-32
V7,1,2,18,1-4-6-7-8-9-11-13-15-16-18-19-21-22-23-25-30-32
V7,2,2,20,3-4-6-7-10-12-14-15-16-20-21-22-23-24-25-26-27-28-31-32
V7,3,2,16,3-4-7-8-9-10-13-14-15-20-21-22-25-26-27-32
V7,4,2,23,1-2-5-6-7-9-11-12-13-14-16-17-18-20-21-23-24-25-27-28-29-30-31
V7,5,2,24,1-2-5-6-7-9-11-12-13-14-16-17-18-20-21-23-24-25-27-28-29-30-31-32
V7,6,2,25,1-3-4-5-6-8-9-10-11-12-13-14-16-17-18-20-21-23-24-25-27-29-30-31-32
V7,7,2,31,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,8,2,31,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,9,2,31,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,10,2,29,1-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,11,2,30,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,12,2,18,2-3-4-5-6-11-12-13-15-16-17-18-21-23-27-28-29-31
V7,13,2,17,3-4-5-6-10-11-12-13-15-16-17-18-21-22-23-28-31
V7,14,2,19,3-4-5-6-7-10-12-13-15-16-17-18-20-21-22-23-28-29-31
V7,15,2,25,2-3-4-5-6-7-8-10-12-13-14-15-16-17-18-20-21-22-23-26-27-28-29-31-32
V7,16,2,23,2-3-4-5-6-7-10-12-13-14-15-16-17-18-20-21-22-23-27-28-29-31-32
V7,17,2,21,2-3-4-5-6-7-10-12-13-14-15-16-17-18-20-21-22-23-28-29-31
V7,18,2,20,2-3-4-5-6-7-10-12-13-14-15-16-17-20-21-22-23-28-29-31
V7,19,2,22,1-2-3-5-7-8-9-11-12-13-15-16-18-19-20-24-25-26-27-29-30-32
V7,20,2,25,1-2-3-5-7-8-9-11-12-13-15-16-18-19-20-21-22-24-25-26-27-28-29-30-32
V7,21,2,26,1-2-3-4-5-7-8-9-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-29-30-32
V7,22,2,28,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-18-19-20-21-22-23-24-25-26-27-29-30-32
V7,23,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18-19-20-21-22-23-24-25-26-27-29-30-31-32
V7,24,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18-19-20-21-22-23-24-25-26-27-29-30-31-32
V7,25,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-29-30-31-32
V7,26,2,29,1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,27,2,30,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-29-30-31-32
V7,28,2,29,1-2-3-4-5-6-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-29-30-31-32
V7,29,2,20,1-2-4-7-8-10-13-14-15-17-19-20-23-24-25-26-27-29-30-31
V7,30,2,19,3-5-6-9-10-11-12-13-16-17-18-19-21-22-24-25-27-28-32
V7,31,2,20,1-3-5-6-9-10-12-13-16-17-18-19-21-22-23-24-25-27-30-32
V7,32,2,27,1-2-4-5-7-8-9-10-11-12-13-14-15-16-17-18-20-21-23-25-26-27-28-29-30-31-32
V7,33,2,21,2-5-9-10-11-12-13-14-15-16-18-20-21-23-25-26-27-29-30-31-32
V7,34,2,17,2-3-5-6-8-11-13-14-15-16-18-20-25-26-27-31-32
V7,35,2,18,1-4-5-7-8-9-10-12-16-17-20-21-22-23-24-28-29-30
V7,36,2,17,2-3-6-10-11-13-14-15-16-17-19-24-25-26-27-29-31
V7,37,2,16,2-4-6-8-10-11-12-14-15-16-17-24-26-27-29-31
V7,38,2,17,1-4-6-7-10-11-12-14-15-16-17-24-26-27-28-31-32
V7,39,2,17,3-4-8-9-13-15-17-18-19-21-22-23-25-28-29-30-31
V7,40,2,17,3-4-8-9-11-13-15-17-19-20-21-22-23-25-28-30-31
V7,41,2,17,3-4-8-9-11-13-15-17-19-20-21-22-23-25-28-30-31
V7,42,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,43,2,20,1-4-5-6-7-9-10-12-14-15-16-18-19-22-24-26-27-28-29-32
V7,44,2,17,2-3-4-6-8-9-10-11-13-15-17-21-22-23-25-30-31
V7,45,2,26,1-2-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-22-24-25-26-27-29-30-32
V7,46,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32
V7,47,2,31,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V7,48,2,27,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21-22-23-24-25-28-29-31
V7,49,2,25,2-3-4-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21-22-23-24-25-29-30-31
V7,50,2,23,2-3-4-6-7-8-9-10-12-13-15-17-18-19-20-21-22-23-24-25-29-30-31
V7,51,2,28,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21-22-23-24-25-28-29-30-31
V7,52,2,29,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-28-29-30-31
V7,53,2,27,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29
V7,54,2,18,1-3-4-5-7-8-9-11-12-14-18-20-21-25-26-27-29-32
V7,55,2,19,3-4-5-7-8-9-11-14-16-18-21-22-25-26-27-29-30-31-32
V7,56,2,24,1-4-5-7-8-9-11-12-13-14-16-18-19-20-21-22-23-25-26-27-29-30-31-32
V7,57,2,22,5-7-8-9-11-12-13-14-16-18-19-20-21-22-23-25-26-27-29-30-31-32
V7,58,2,21,5-7-8-9-11-12-13-14-15-18-20-21-22-23-25-26-27-29-30-31-32
V7,59,2,24,1-2-3-5-7-8-9-10-11-12-13-14-15-18-20-21-22-23-25-26-27-29-30-32
V7,60,2,25,1-2-3-4-5-7-8-9-10-11-12-13-14-15-18-20-21-22-23-25-26-27-29-30-32
V8,1,2,18,1-4-6-7-9-11-13-15-18-19-21-22-23-25-28-29-30-32
V8,2,2,24,1-2-3-5-6-8-9-10-12-13-14-16-17-19-22-23-24-25-26-27-28-29-31-32
V8,3,2,20,2-4-6-7-9-10-11-15-18-19-20-21-22-24-25-26-27-29-30-32
V8,4,2,19,2-4-6-7-8-9-10-15-18-19-21-22-24-25-26-27-29-30-32
V8,5,2,18,2-4-6-8-9-10-15-18-19-21-22-24-25-26-27-29-30-32
V8,6,2,22,2-3-4-6-7-8-9-10-12-15-18-19-21-22-23-24-25-26-27-29-30-32
V8,7,2,21,1-3-4-6-7-8-9-10-11-12-18-19-21-23-24-25-26-27-29-30-32
V8,8,2,16,1-6-7-8-9-10-11-12-19-21-23-25-26-27-29-30
V8,9,2,19,2-3-4-5-6-11-13-14-15-16-17-18-19-20-22-24-28-31-32
V8,10,2,17,6-7-8-9-10-11-12-14-18-20-21-23-25-26-27-29-30
V8,11,2,20,1-6-7-9-10-11-12-14-16-18-20-21-23-25-26-27-28-29-30-32
V8,12,2,19,1-6-7-9-10-11-12-14-16-18-20-21-23-25-26-27-29-30-32
V8,13,2,30,1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32
V8,14,2,29,1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-21-22-23-24-25-26-27-28-29-30-31-32
V8,15,2,28,1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-21-22-23-25-26-27-28-29-30-31-32
V8,16,2,29,1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V8,17,2,26,1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-18-21-22-23-25-26-27-28-29-30-32
V8,18,2,25,1-2-3-4-5-6-7-8-10-11-13-14-15-16-18-21-22-23-25-26-28-29-30-31-32
V8,19,2,25,1-2-3-4-5-6-7-8-10-11-13-14-15-16-18-19-21-22-25-26-28-29-30-31-32
V8,20,2,23,1-2-5-6-7-8-10-11-13-14-15-16-18-19-21-22-25-26-28-29-30-31-32
V8,21,2,24,1-2-5-6-7-8-10-11-13-14-15-16-18-19-21-22-23-25-26-28-29-30-31-32
V8,22,2,23,1-2-5-6-7-8-10-11-14-15-16-18-19-21-22-23-25-26-28-29-30-31-32
V8,23,2,28,1-2-3-5-6-7-8-10-11-12-13-14-15-16-18-19-20-21-22-23-25-26-27-28-29-30-31-32
V8,24,2,28,1-2-3-5-6-7-8-10-11-12-13-14-15-16-18-19-20-21-22-23-25-26-27-28-29-30-31-32
V8,25,2,28,1-2-3-4-5-6-7-8-10-11-12-13-14-15-16-18-19-20-21-22-23-25-26-27-28-29-30-31
V8,26,2,27,1-2-4-5-6-7-8-10-11-12-13-14-15-16-18-19-20-21-22-23-25-26-27-28-29-30-31
V8,27,2,27,1-2-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-25-26-27-28-29-30-31
V8,28,2,27,1-2-3-4-5-6-7-9-10-11-12-13-15-16-18-19-20-21-22-23-25-26-27-28-29-30-31
V8,29,2,24,1-2-4-5-6-7-9-10-11-12-13-15-16-18-19-20-21-22-23-25-26-28-29-31
V8,30,2,22,1-2-4-5-6-7-9-10-11-12-13-15-16-18-20-21-22-23-25-26-28-32
V8,31,2,22,1-2-4-5-6-7-8-9-10-11-12-13-16-18-20-21-22-23-25-26-28-32
V8,32,2,25,1-2-4-5-6-7-8-9-10-11-12-13-15-16-17-18-21-22-23-24-25-26-28-31-32
V8,33,2,22,1-2-4-5-6-7-8-9-11-12-13-15-16-17-21-22-24-25-26-28-31-32
V8,34,2,23,1-2-4-5-6-7-8-9-11-12-13-15-16-17-19-21-22-23-24-26-28-31-32
V8,35,2,25,1-2-3-4-5-6-7-8-9-11-12-13-15-16-17-18-19-21-22-23-24-26-28-31-32
V8,36,2,25,1-2-3-4-5-6-7-8-9-11-12-13-15-16-17-19-21-22-23-24-26-28-29-31-32
V8,37,2,25,1-2-4-5-6-7-8-9-11-12-13-15-16-17-18-20-21-22-23-24-26-28-29-31-32
V8,38,2,27,1-2-4-5-6-7-8-9-11-12-13-15-16-17-18-20-21-22-23-24-25-26-28-29-30-31-32
V8,39,2,26,1-2-3-4-5-6-7-8-9-11-12-13-16-17-18-20-21-22-24-25-26-28-29-30-31-32
V8,40,2,25,1-2-3-4-6-7-8-9-10-11-12-13-16-17-18-20-22-24-25-26-28-29-30-31-32
V8,41,2,20,1-3-4-6-8-9-10-11-12-14-16-17-20-25-26-28-29-30-31-32
V8,42,2,22,1-3-5-6-8-9-10-11-12-14-16-17-20-21-23-25-26-28-29-30-31-32
V8,43,2,25,1-3-5-6-8-9-10-11-12-14-15-16-17-18-20-21-23-24-25-26-28-29-30-31-32
V8,44,2,26,1-3-5-6-8-9-10-11-12-14-15-16-17-18-19-20-21-23-24-25-26-28-29-30-31-32
V8,45,2,24,3-5-6-8-9-11-12-14-15-16-17-18-19-20-21-23-24-25-26-28-29-30-31-32
V8,46,2,17,2-3-5-6-8-9-12-16-17-18-21-23-24-28-29-30-32
V8,47,2,29,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-28-29-30-31-32
V8,48,2,27,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-21-22-23-26-28-29-30-31-32
V8,49,2,27,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-21-22-23-24-26-28-29-30-31-32
V8,50,2,28,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-20-21-22-23-24-26-27-28-29-30-31-32
V8,51,2,30,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-31-32
V8,52,2,30,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-31-32
V8,53,2,29,1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-32
V8,54,2,26,1-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-26-27-28-29-30-32
V8,55,2,28,1-2-5-6-7-8-9-10-11-12-13-14-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31
V8,56,2,21,1-2-3-4-5-6-11-12-14-15-16-17-18-20-21-22-26-28-29-30-32
V8,57,2,21,1-3-4-5-6-9-12-14-15-16-17-18-21-22-25-26-28-29-30-31-32
V8,58,2,21,1-3-4-5-6-9-12-14-15-16-17-18-21-22-25-26-28-29-30-31-32
V8,59,2,19,1-3-5-6-9-14-15-16-17-18-21-22-25-26-28-29-30-31-32
V8,60,2,20,1-3-5-6-7-9-14-16-17-18-19-21-22-25-26-28-29-30-31-32
V1,1,3,19,1-4-6-7-9-11-13-15-16-18-19-21-22-23-25-28-29-30-32
