VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2),Number of Users(C3)
4,49,3,14,15,3
4,50,3,13,16,3
4,51,3,16,13,3
4,52,3,13,16,3
4,53,3,17,13,2
4,54,3,17,13,2
4,55,3,17,13,2
4,56,3,2,12,18
4,57,3,18,12,2
4,58,3,19,10,3
4,59,3,18,10,4
5,0,3,12,11,9
5,1,3,16,11,5
5,2,3,12,8,12
5,3,3,18,12,2
5,4,3,12,2,18
5,5,3,29,2,1
5,6,3,26,1,5
5,7,3,23,3,6
5,8,3,25,2,5
5,9,3,26,2,4
5,10,3,29,2,1
5,11,3,29,1,2
5,12,3,2,28,2
5,13,3,2,5,25
5,14,3,25,5,2
5,15,3,3,25,4
5,16,3,5,24,3
5,17,3,24,7,1
5,18,3,2,23,7
5,19,3,24,5,3
5,20,3,5,25,2
5,21,3,5,6,21
5,22,3,4,3,25
5,23,3,26,1,5
5,24,3,5,26,1
5,25,3,5,1,26
5,26,3,20,1,11
5,27,3,3,28,1
5,28,3,15,1,16
5,29,3,4,26,2
5,30,3,29,2,1
5,31,3,28,1,3
5,32,3,27,1,4
5,33,3,26,1,5
5,34,3,29,1,2
5,35,3,28,3,1
5,36,3,29,2,1
5,37,3,29,2,1
5,38,3,29,2,1
5,39,3,30,1,1
5,40,3,2,28,2
5,41,3,29,1,2
5,42,3,27,2,3
5,43,3,27,4,1
5,44,3,4,3,25
5,45,3,27,3,2
5,46,3,1,29,2
5,47,3,30,1,1
5,48,3,9,1,22
5,49,3,30,1,1
5,50,3,1,29,2
5,51,3,30,1,1
5,52,3,1,30,1
5,53,3,20,1,11
5,54,3,28,1,3
5,55,3,29,1,2
5,56,3,30,1,1
5,57,3,7,24,1
5,58,3,2,17,13
5,59,3,2,29,1
6,0,3,8,10,14
6,1,3,7,17,8
6,2,3,15,9,8
6,3,3,25,5,2
6,4,3,7,7,18
6,5,3,6,7,19
6,6,3,22,6,4
6,7,3,11,6,15
6,8,3,14,7,11
6,9,3,13,9,10
6,10,3,9,10,13
6,11,3,13,12,7
6,12,3,11,10,11
6,13,3,10,15,7
6,14,3,19,9,4
6,15,3,9,18,5
6,16,3,8,9,15
6,17,3,15,9,8
6,18,3,18,7,7
6,19,3,18,4,10
6,20,3,16,11,5
6,21,3,3,15,14
6,22,3,12,17,3
6,23,3,21,6,5
6,24,3,5,22,5
6,25,3,6,7,19
6,26,3,5,2,25
6,27,3,23,4,5
6,28,3,3,23,6
6,29,3,22,5,5
6,30,3,21,3,8
6,31,3,21,2,9
6,32,3,18,5,9
6,33,3,20,4,8
6,34,3,19,7,6
6,35,3,18,8,6
6,36,3,18,4,10
6,37,3,20,4,8
6,38,3,19,3,10
6,39,3,8,2,22
6,40,3,11,19,2
6,41,3,8,21,3
6,42,3,23,8,1
6,43,3,8,22,2
6,44,3,21,8,3
6,45,3,24,5,3
6,46,3,20,4,8
6,47,3,6,23,3
6,48,3,20,4,8
6,49,3,18,11,3
6,50,3,14,3,15
6,51,3,22,9,1
6,52,3,24,7,1
6,53,3,22,7,3
6,54,3,28,2,2
6,55,3,2,17,13
6,56,3,14,2,16
6,57,3,23,7,2
6,58,3,7,20,5
6,59,3,21,5,6
7,0,3,10,13,9
7,1,3,19,12,1
7,2,3,15,16,1
7,3,3,2,23,7
7,4,3,13,5,14
7,5,3,9,4,19
7,6,3,28,1,3
7,7,3,29,1,2
7,8,3,29,1,2
7,9,3,29,1,2
7,10,3,11,2,19
7,11,3,3,14,15
7,12,3,15,16,1
7,13,3,10,17,5
7,14,3,6,19,7
7,15,3,9,18,5
7,16,3,10,21,1
7,17,3,10,11,11
7,18,3,16,7,9
7,19,3,4,23,5
7,20,3,24,3,5
7,21,3,2,25,5
7,22,3,23,2,7
7,23,3,27,2,3
7,24,3,28,2,2
7,25,3,2,3,27
7,26,3,3,27,2
7,27,3,12,2,18
7,28,3,12,10,10
7,29,3,12,18,2
7,30,3,18,1,13
7,31,3,10,19,3
7,32,3,18,8,6
7,33,3,15,16,1
7,34,3,17,14,1
7,35,3,16,14,2
7,36,3,14,17,1
7,37,3,12,3,17
7,38,3,21,8,3
7,39,3,15,15,2
7,40,3,17,14,1
7,41,3,16,1,15
7,42,3,10,10,12
7,43,3,15,16,1
7,44,3,16,4,12
7,45,3,15,16,1
7,46,3,25,6,1
7,47,3,11,5,16
7,48,3,10,7,15
7,49,3,7,15,10
7,50,3,16,4,12
7,51,3,28,3,1
7,52,3,12,16,4
7,53,3,8,15,9
7,54,3,14,11,7
7,55,3,4,8,20
7,56,3,15,9,8
7,57,3,16,10,6
7,58,3,21,6,5
7,59,3,3,6,23
8,0,3,13,16,3
8,1,3,22,7,3
8,2,3,9,17,6
8,3,3,9,11,12
8,4,3,13,18,1
8,5,3,17,14,1
8,6,3,16,13,3
8,7,3,13,5,14
8,8,3,8,10,14
8,9,3,9,12,11
8,10,3,12,3,17
8,11,3,18,13,1
8,12,3,13,9,10
8,13,3,9,17,6
8,14,3,3,17,12
8,15,3,18,5,9
8,16,3,13,9,10
8,17,3,7,15,10
8,18,3,18,9,5
8,19,3,18,6,8
8,20,3,9,18,5
8,21,3,10,17,5
8,22,3,8,7,17
8,23,3,4,20,8
8,24,3,21,3,8
8,25,3,23,5,4
8,26,3,23,6,3
8,27,3,21,5,6
8,28,3,7,10,15
8,29,3,16,9,7
8,30,3,16,8,8
8,31,3,10,14,8
8,32,3,7,22,3
